Variable	DescrCA	DescrES	DescrEN	Valor_Value	LabelCA	LabelES	LabelEN
P56	Vostè, en general, amb els amics, en quina llengua parla?	Usted, por lo general, con sus amigos, ¿en qué lengua habla?	In general, with your friends, what language do you speak?				
P56				1	Només català	Sólo catalán	Only Catalan
P56				2	Més català que castellà	Más catalán que castellano	More Catalan than Spanish
P56				3	Ambdues	Ambas	Both
P56				4	Més castellà que català	Más castellano que catalán	More Spanish than Catalan
P56				5	Només castellà	Sólo castellano	Only Spanish
P56				6	Només en altres llengües	Sólo en otras lenguas	Only in other languages
P56				7	Català i altres llengües	Catalán y otras lenguas	Catalan and other languages
P56				8	Castellà i altres llengües	Castellano y otras lenguas	Spanish and anothers languages
P56				9	Català, castellà i altra llengua	Catalán, castellano y otra lengua	Catalan, Spanish and another language
P56				10	Només aranès	Sólo aranés	Only Aranese
P56				11	Català i aranès	Catalán y aranés	Catalan and Aranese
P56				12	Castellà i aranès	Castellano y aranés	Spanish and Aranese
P56				13	Aranès i altra llengua	Aranés y otra lengua	Aranese and another language
P56				14	Català, castellà i aranès	Catalán, castellano y aranés	Catalan, Spanish and Aranese
P56				15	Català, aranès i altra llengua	Catalán, aranés y otra lengua	Catalan, Aranese and another language
P56				16	Castellà, aranès i altra llengua	Castellano, aranés y otra lengua	Spanish, Aranese and another language
P56				97	No tinc amics	No tengo amigos	I don't have friends
P56				99	No consta	No consta	N/A
P60	Vostè, amb els veïns, en quina llengua parla?	¿Usted, con sus vecinos, en qué lengua habla?	What language do you speak with your neighbours? 				
P60				1	Només català	Sólo catalán	Only Catalan
P60				2	Més català que castellà	Más catalán que castellano	More Catalan than Spanish
P60				3	Ambdues	Ambas	Both
P60				4	Més castellà que català	Más castellano que catalán	More Spanish than Catalan
P60				5	Només castellà	Sólo castellano	Only Spanish
P60				6	Només en altres llengües	Sólo en otras lenguas	Only in other languages
P60				7	Català i altres llengües	Catalán y otras lenguas	Catalan and other languages
P60				8	Castellà i altres llengües	Castellano y otras lenguas	Spanish and anothers languages
P60				9	Català, castellà i altra llengua	Catalán, castellano y otra lengua	Catalan, Spanish and another language
P60				10	Només aranès	Sólo aranés	Only Aranese
P60				11	Català i aranès	Catalán y aranés	Catalan and Aranese
P60				12	Castellà i aranès	Castellano y aranés	Spanish and Aranese
P60				13	Aranès i altra llengua	Aranés y otra lengua	Aranese and another language
P60				14	Català, castellà i aranès	Catalán, castellano y aranés	Catalan, Spanish and Aranese
P60				15	Català, aranès i altra llengua	Catalán, aranés y otra lengua	Catalan, Aranese and another language
P60				16	Castellà, aranès i altra llengua	Castellano, aranés y otra lengua	Spanish, Aranese and another language
P60				97	No tinc veïns	No tengo vecinos	I don't have neighbors
P60				99	No consta	No consta	N/A
P64	En l'actualitat, està cursant algun tipus d'estudi o formació?	En la actualidad, ¿está cursando algún tipo de estudio o formación?	Are you currently studying or training?				
P64				1	Sí	Sí	Yes
P64				2	No	No	No
P64				99	No consta	No consta	N/A
P65	Quin tipus de formació realitza?	¿Qué tipo de formación realiza?	What kind of training do you do?				
P65				1	Reglada (batxillerat, mòduls, universitària, doctorat, màsters d’universitat)	Reglada (bachillerato, módulos, universitaria, doctorado, másteres de universidad)	Regulated (baccalaureate, modules, university, doctorate, master's degrees)
P65				2	No reglada (cursos d’informàtica, cursos d’idiomes...)	No reglada (cursos de informática, cursos de idiomas...)	Unregulated (computer courses, language courses, etc.)
P65				3	Ambdues	Ambas	Both
P65				99	No consta	No consta	N/A
P66	Vostè, amb els companys d'estudis actuals, en quina llengua parla?	¿Usted, con sus compañeros de estudios actuales, en qué lengua habla?	With your current fellow students, what language do you speak?				
P66				1	Només català	Sólo catalán	Only Catalan
P66				2	Més català que castellà	Más catalán que castellano	More Catalan than Spanish
P66				3	Ambdues	Ambas	Both
P66				4	Més castellà que català	Más castellano que catalán	More Spanish than Catalan
P66				5	Només castellà	Sólo castellano	Only Spanish
P66				6	Només en altres llengües	Sólo en otras lenguas	Only in other languages
P66				7	Català i altres llengües	Catalán y otras lenguas	Catalan and other languages
P66				8	Castellà i altres llengües	Castellano y otras lenguas	Spanish and anothers languages
P66				9	Català, castellà i altra llengua	Catalán, castellano y otra lengua	Catalan, Spanish and another language
P66				10	Només aranès	Sólo aranés	Only Aranese
P66				11	Català i aranès	Catalán y aranés	Catalan and Aranese
P66				12	Castellà i aranès	Castellano y aranés	Spanish and Aranese
P66				13	En aranès i en una altra llengua (o llengües)	En aranés y otra lengua (o lenguas)	In Aranese and another language (or languages)
P66				14	Català, castellà i aranès	Catalán, castellano y aranés	Catalan, Spanish and Aranese
P66				15	En català, aranès i en una altra llengua (o llengües)	En catalán, aranés y otra lengua (o lenguas)	In Catalan, Aranese and another language (or languages)
P66				16	En castellà, aranès i en una altra llengua (o llengües)	En castellano, aranés y otra lengua (o lenguas)	In Spanish, Aranese and another language (or languages)
P66				99	No consta	No consta	N/A
P70	Quina és la seva relació amb l’activitat econòmica principal?	¿Cuál es su relación con la actividad económica principal?	What is its relationship with the main economic activity?				
P70				1	Ocupat	Ocupado	Employed
P70				2	Desocupat	Desempleado	Unemployed
P70				3	Desocupat/ada que busca la primera feina	Desocupado/a que busca el primer trabajo	Unemployed looking for first job
P70				4	Jubilat o pensionista	Jubilado o pensionista	Retired person or pensioner
P70				5	Jubilat/ada o pensionista que no ha treballat abans	Jubilado/a o pensionista que no ha trabajado antes	Retired person or pensioner who has not worked before
P70				6	Incapacitat/ada o amb invalidesa permanent	Incapacitado/a o con invalidez permanente	Permanently disabled
P70				7	Estudiant	Estudiante	Student
P70				8	Feines de la llar	Trabajos domésticos	Homemaker
P70				9	Altres situacions laborals	Otras situaciones laborales	Other work situations
P70				99	No consta	No consta	N/A
P73	Per a qui treballa o treballava?	¿Para quién trabaja o trabajaba?	Who do you or did you work for?				
P73				1	Per compte propi	Por cuenta propia	By him/herself
P73				2	Assalariat/ada indefinit	Asalariado/da indefinido/a	Permanent employee
P73				3	Assalariat/ada eventual	Asalariado/da eventual	Temporary employee
P73				4	Membre d’una cooperativa	Miembro de una cooperativa	Member of a cooperative 
P73				5	Ajut familiar	Ayuda familiar	Family support
P73				99	No consta	No consta	N/A
P74	Si treballa o treballava per compte propi, quants assalariats té o tenia?	Si trabaja o trabaja por cuenta propia, ¿cuántos asalariados tiene o tenía?	If you are or were self-employed, how many employees do you or did you have?				
P74				1	Sense assalariats	Sin asalariados	No employees
P74				2	D’1 a 4 assalariats	De 1 a 4 asalariados	From 1 to 4 employees
P74				3	5 assalariats i més	5 asalariados y más	5 employees or more
P74				99	No consta	No consta	N/A
P75	Vostè, amb els companys de feina, en quina llengua parla o parlava?	¿Usted, con sus compañeros de trabajo, en qué lengua habla o hablaba?	With your work colleagues, what language do you or did you speak? 				
P75				1	Només català	Sólo catalán	Only Catalan
P75				2	Més català que castellà	Más catalán que castellano	More Catalan than Spanish
P75				3	Ambdues	Ambas	Both
P75				4	Més castellà que català	Más castellano que catalán	More Spanish than Catalan
P75				5	Només castellà	Sólo castellano	Only Spanish
P75				6	Només en una altra llengua (o llengües)	Sólo en otra lengua (o lenguas)	Only in another language (or languages)
P75				7	En català i en una altra llengua (o llengües)	En catalán y otra lengua (o lenguas)	In Catalan and another language (or languages)
P75				8	En castellà i en una altra llengua (o llengües)	En castellano y otra lengua (o lenguas)	In Spanish and another language (or languages)
P75				9	En català, castellà i en una altra llengua (o llengües)	En catalán, catellano y otra lengua (o lenguas)	In Catalan, Spanish and another language (or languages)
P75				10	Només aranès	Sólo aranés	Only Aranese
P75				11	En català i aranès	En catalán y aranés	In Catalan and Aranese
P75				12	En castellà i aranès	En castellano y aranés	In Spanish and Aranese
P75				13	En aranès i en una altra llengua (o llengües)	En aranés y otra lengua (o lenguas)	In Aranese and another language (or languages)
P75				14	En català, castellà i aranès	En catalán, castellano y aranés	In Catalan, Spanish and Aranese
P75				15	En català, aranès i en una altra llengua (o llengües)	En catalán, aranés y otra lengua (o lenguas)	In Catalan, Aranese and another language (or languages)
P75				16	En castellà, aranès i en una altra llengua (o llengües)	En castellano, aranés y otra lengua (o lenguas)	In Spanish, Aranese and another language (or languages)
P75				97	No tinc companys de feina	No tengo compañeros de trabajo	I don't have co-workers
P75				99	No consta	No consta	N/A
P79	Vostè, a la feina, en quina llengua parla o parlava amb els usuaris o els clients de Catalunya?	¿Usted, en el trabajo, en qué lengua habla o hablaba con los usuarios o clientes de Cataluña?	At work, in what language do you or did you speak to users or customers in Catalonia?				
P79				1	Només català	Sólo catalán	Only Catalan
P79				2	Més català que castellà	Más catalán que castellano	More Catalan than Spanish
P79				3	Ambdues	Ambas	Both
P79				4	Més castellà que català	Más castellano que catalán	More Spanish than Catalan
P79				5	Només castellà	Sólo castellano	Only Spanish
P79				6	Només en una altra llengua (o llengües)	Sólo en otra lengua (o lenguas)	Only in another language (or languages)
P79				7	En català i en una altra llengua (o llengües)	En catalán y otra lengua (o lenguas)	In Catalan and another language (or languages)
P79				8	En castellà i en una altra llengua (o llengües)	En castellano y otra lengua (o lenguas)	In Spanish and another language (or languages)
P79				9	En català, castellà i en una altra llengua (o llengües)	En catalán, catellano y otra lengua (o lenguas)	In Catalan, Spanish and another language (or languages)
P79				10	Només aranès	Sólo aranés	Only Aranese
P79				11	En català i aranès	En catalán y aranés	In Catalan and Aranese
P79				12	En castellà i aranès	En castellano y aranés	In Spanish and Aranese
P79				13	En aranès i en una altra llengua (o llengües)	En aranés y otra lengua (o lenguas)	In Aranese and another language (or languages)
P79				14	En català, castellà i aranès	En catalán, castellano y aranés	In Catalan, Spanish and Aranese
P79				15	En català, aranès i en una altra llengua (o llengües)	En catalán, aranés y otra lengua (o lenguas)	In Catalan, Aranese and another language (or languages)
P79				16	En castellà, aranès i en una altra llengua (o llengües)	En castellano, aranés y otra lengua (o lenguas)	In Spanish, Aranese and another language (or languages)
P79				88	No faig atenció al públic o a usuaris	No presto atención al público o a usuarios	I don't pay attention to the public or users
P79				99	No consta	No consta	N/A
P81	Vostè, quan va de botigues o petits comerços, en quina llengua parla?	¿Usted, cuando va de tiendas o pequeños comercios, en qué lengua habla?	When you go to shops or small businesses, what language do you speak?				
P81				1	Només català	Sólo catalán	Only Catalan
P81				2	Més català que castellà	Más catalán que castellano	More Catalan than Spanish
P81				3	Ambdues	Ambas	Both
P81				4	Més castellà que català	Más castellano que catalán	More Spanish than Catalan
P81				5	Només castellà	Sólo castellano	Only Spanish
P81				6	Només en una altra llengua (o llengües)	Sólo en otra lengua (o lenguas)	Only in another language (or languages)
P81				7	En català i en una altra llengua (o llengües)	En catalán y otra lengua (o lenguas)	In Catalan and another language (or languages)
P81				8	En castellà i en una altra llengua (o llengües)	En castellano y otra lengua (o lenguas)	In Spanish and another language (or languages)
P81				9	En català, castellà i en una altra llengua (o llengües)	En catalán, catellano y otra lengua (o lenguas)	In Catalan, Spanish and another language (or languages)
P81				10	Només aranès	Sólo aranés	Only Aranese
P81				11	En català i aranès	En catalán y aranés	In Catalan and Aranese
P81				12	En castellà i aranès	En castellano y aranés	In Spanish and Aranese
P81				13	En aranès i en una altra llengua (o llengües)	En aranés y otra lengua (o lenguas)	In Aranese and another language (or languages)
P81				14	En català, castellà i aranès	En catalán, castellano y aranés	In Catalan, Spanish and Aranese
P81				15	En català, aranès i en una altra llengua (o llengües)	En catalán, aranés y otra lengua (o lenguas)	In Catalan, Aranese and another language (or languages)
P81				16	En castellà, aranès i en una altra llengua (o llengües)	En castellano, aranés y otra lengua (o lenguas)	In Spanish, Aranese and another language (or languages)
P81				97	No vaig a botigues o petits comerços	No voy a tiendas o pequeños comercios	I don't go to shops or small businesses
P81				99	No consta	No consta	N/A
P85	Vostè, quan va a grans establiments comercials com ara supermercats i hipermercats, en quina llengua parla?	¿Usted, cuando va a grandes establecimientos comerciales como supermercados e hipermercados, en qué lengua habla?	When you go to large commercial establishments such as supermarkets and hypermarkets, what language do you speak?				
P85				1	Només català	Sólo catalán	Only Catalan
P85				2	Més català que castellà	Más catalán que castellano	More Catalan than Spanish
P85				3	Ambdues	Ambas	Both
P85				4	Més castellà que català	Más castellano que catalán	More Spanish than Catalan
P85				5	Només castellà	Sólo castellano	Only Spanish
P85				6	Només en una altra llengua (o llengües)	Sólo en otra lengua (o lenguas)	Only in another language (or languages)
P85				7	En català i en una altra llengua (o llengües)	En catalán y otra lengua (o lenguas)	In Catalan and another language (or languages)
P85				8	En castellà i en una altra llengua (o llengües)	En castellano y otra lengua (o lenguas)	In Spanish and another language (or languages)
P85				9	En català, castellà i en una altra llengua (o llengües)	En catalán, catellano y otra lengua (o lenguas)	In Catalan, Spanish and another language (or languages)
P85				10	Només aranès	Sólo aranés	Only Aranese
P85				11	En català i aranès	En catalán y aranés	In Catalan and Aranese
P85				12	En castellà i aranès	En castellano y aranés	In Spanish and Aranese
P85				13	En aranès i en una altra llengua (o llengües)	En aranés y otra lengua (o lenguas)	In Aranese and another language (or languages)
P85				14	En català, castellà i aranès	En catalán, castellano y aranés	In Catalan, Spanish and Aranese
P85				15	En català, aranès i en una altra llengua (o llengües)	En catalán, aranés y otra lengua (o lenguas)	In Catalan, Aranese and another language (or languages)
P85				16	En castellà, aranès i en una altra llengua (o llengües)	En castellano, aranés y otra lengua (o lenguas)	In Spanish, Aranese and another language (or languages)
P85				97	No vaig a grans establiments comercials	No voy a grandes establecimientos comerciales	I don't go to large commercial establishments
P85				99	No consta	No consta	N/A
P89	Vostè, quan s’adreça a bancs o caixes d’estalvis, en quina llengua parla?	¿Usted, cuando se dirige a bancos o cajas de ahorros, en qué lengua habla?	When you go to banks, what language do you speak?				
P89				1	Només català	Sólo catalán	Only Catalan
P89				2	Més català que castellà	Más catalán que castellano	More Catalan than Spanish
P89				3	Ambdues	Ambas	Both
P89				4	Més castellà que català	Más castellano que catalán	More Spanish than Catalan
P89				5	Només castellà	Sólo castellano	Only Spanish
P89				6	Només en una altra llengua (o llengües)	Sólo en otra lengua (o lenguas)	Only in another language (or languages)
P89				7	En català i en una altra llengua (o llengües)	En catalán y otra lengua (o lenguas)	In Catalan and another language (or languages)
P89				8	En castellà i en una altra llengua (o llengües)	En castellano y otra lengua (o lenguas)	In Spanish and another language (or languages)
P89				9	En català, castellà i en una altra llengua (o llengües)	En catalán, catellano y otra lengua (o lenguas)	In Catalan, Spanish and another language (or languages)
P89				10	Només aranès	Sólo aranés	Only Aranese
P89				11	En català i aranès	En catalán y aranés	In Catalan and Aranese
P89				12	En castellà i aranès	En castellano y aranés	In Spanish and Aranese
P89				13	En aranès i en una altra llengua (o llengües)	En aranés y otra lengua (o lenguas)	In Aranese and another language (or languages)
P89				14	En català, castellà i aranès	En catalán, castellano y aranés	In Catalan, Spanish and Aranese
P89				15	En català, aranès i en una altra llengua (o llengües)	En catalán, aranés y otra lengua (o lenguas)	In Catalan, Aranese and another language (or languages)
P89				16	En castellà, aranès i en una altra llengua (o llengües)	En castellano, aranés y otra lengua (o lenguas)	In Spanish, Aranese and another language (or languages)
P89				97	No vaig a bancs o caixes d’estalvi	No voy a bancos o cajas de ahorro	I don't go to banks
P89				99	No consta	No consta	N/A
P93	Vostè, quan s’adreça a l’Administració local (ajuntament o altres), quina llengua parla (utilitza)?	¿Usted, cuando se dirige a la Administración local (ayuntamiento u otros), qué lengua habla (utiliza)?	When contacting local government officials (local council or others), what language do you speak (use)?				
P93				1	Només català	Sólo catalán	Only Catalan
P93				2	Més català que castellà	Más catalán que castellano	More Catalan than Spanish
P93				3	Ambdues	Ambas	Both
P93				4	Més castellà que català	Más castellano que catalán	More Spanish than Catalan
P93				5	Només castellà	Sólo castellano	Only Spanish
P93				6	Només en una altra llengua (o llengües)	Sólo en otra lengua (o lenguas)	Only in another language (or languages)
P93				7	En català i en una altra llengua (o llengües)	En catalán y otra lengua (o lenguas)	In Catalan and another language (or languages)
P93				8	En castellà i en una altra llengua (o llengües)	En castellano y otra lengua (o lenguas)	In Spanish and another language (or languages)
P93				9	En català, castellà i en una altra llengua (o llengües)	En catalán, catellano y otra lengua (o lenguas)	In Catalan, Spanish and another language (or languages)
P93				10	Només aranès	Sólo aranés	Only Aranese
P93				11	En català i aranès	En catalán y aranés	In Catalan and Aranese
P93				12	En castellà i aranès	En castellano y aranés	In Spanish and Aranese
P93				13	En aranès i en una altra llengua (o llengües)	En aranés y otra lengua (o lenguas)	In Aranese and another language (or languages)
P93				14	En català, castellà i aranès	En catalán, castellano y aranés	In Catalan, Spanish and Aranese
P93				15	En català, aranès i en una altra llengua (o llengües)	En catalán, aranés y otra lengua (o lenguas)	In Catalan, Aranese and another language (or languages)
P93				16	En castellà, aranès i en una altra llengua (o llengües)	En castellano, aranés y otra lengua (o lenguas)	In Spanish, Aranese and another language (or languages)
P93				97	No m’adreço a l’Administració local	No me dirijo a la Administración local	I don't contact local government officials
P93				99	No consta	No consta	N/A
P97	Vostè, quan s’adreça a l’Administració de la Generalitat de Catalunya, quina llengua parla (utilitza)?	¿Usted, cuando se dirige a la Administración de la Generalidad de Cataluña, qué lengua habla (utiliza)?	When you contact officials of the Government of Catalonia , what language do you speak (use)?				
P97				1	Només català	Sólo catalán	Only Catalan
P97				2	Més català que castellà	Más catalán que castellano	More Catalan than Spanish
P97				3	Ambdues	Ambas	Both
P97				4	Més castellà que català	Más castellano que catalán	More Spanish than Catalan
P97				5	Només castellà	Sólo castellano	Only Spanish
P97				6	Només en una altra llengua (o llengües)	Sólo en otra lengua (o lenguas)	Only in another language (or languages)
P97				7	En català i en una altra llengua (o llengües)	En catalán y otra lengua (o lenguas)	In Catalan and another language (or languages)
P97				8	En castellà i en una altra llengua (o llengües)	En castellano y otra lengua (o lenguas)	In Spanish and another language (or languages)
P97				9	En català, castellà i en una altra llengua (o llengües)	En catalán, catellano y otra lengua (o lenguas)	In Catalan, Spanish and another language (or languages)
P97				10	Només aranès	Sólo aranés	Only Aranese
P97				11	En català i aranès	En catalán y aranés	In Catalan and Aranese
P97				12	En castellà i aranès	En castellano y aranés	In Spanish and Aranese
P97				13	En aranès i en una altra llengua (o llengües)	En aranés y otra lengua (o lenguas)	In Aranese and another language (or languages)
P97				14	En català, castellà i aranès	En catalán, castellano y aranés	In Catalan, Spanish and Aranese
P97				15	En català, aranès i en una altra llengua (o llengües)	En catalán, aranés y otra lengua (o lenguas)	In Catalan, Aranese and another language (or languages)
P97				16	En castellà, aranès i en una altra llengua (o llengües)	En castellano, aranés y otra lengua (o lenguas)	In Spanish, Aranese and another language (or languages)
P97				97	No m’adreço a l’Administració de la Generalitat de Catalunya	No me dirijo a la Administración de la Generalitat de Catalunya	I don't contact officials of the Generalitat de Catalunya
P97				99	No consta	No consta	N/A
P101	Vostè, quan s’adreça a l’Administració de l’Estat a Catalunya (delegacions d’hisenda, oficines DNI, INSS, oficines d’estrangeria, etc.), quina llengua parla (utilitza)?	¿Usted, cuando se dirige a la Administración del Estado en Cataluña (delegaciones de hacienda, oficinas DNI, INSS, oficinas de extranjería, etc.), qué lengua habla (utiliza)?	When contacting the State Administration in Catalonia (tax offices, ID offices, INSS, immigration offices, etc.), what language do you speak (use)?				
P101				1	Només català	Sólo catalán	Only Catalan
P101				2	Més català que castellà	Más catalán que castellano	More Catalan than Spanish
P101				3	Ambdues	Ambas	Both
P101				4	Més castellà que català	Más castellano que catalán	More Spanish than Catalan
P101				5	Només castellà	Sólo castellano	Only Spanish
P101				6	Només en una altra llengua (o llengües)	Sólo en otra lengua (o lenguas)	Only in another language (or languages)
P101				7	En català i en una altra llengua (o llengües)	En catalán y otra lengua (o lenguas)	In Catalan and another language (or languages)
P101				8	En castellà i en una altra llengua (o llengües)	En castellano y otra lengua (o lenguas)	In Spanish and another language (or languages)
P101				9	En català, castellà i en una altra llengua (o llengües)	En catalán, catellano y otra lengua (o lenguas)	In Catalan, Spanish and another language (or languages)
P101				10	Només aranès	Sólo aranés	Only Aranese
P101				11	En català i aranès	En catalán y aranés	In Catalan and Aranese
P101				12	En castellà i aranès	En castellano y aranés	In Spanish and Aranese
P101				13	En aranès i en una altra llengua (o llengües)	En aranés y otra lengua (o lenguas)	In Aranese and another language (or languages)
P101				14	En català, castellà i aranès	En catalán, castellano y aranés	In Catalan, Spanish and Aranese
P101				15	En català, aranès i en una altra llengua (o llengües)	En catalán, aranés y otra lengua (o lenguas)	In Catalan, Aranese and another language (or languages)
P101				16	En castellà, aranès i en una altra llengua (o llengües)	En castellano, aranés y otra lengua (o lenguas)	In Spanish, Aranese and another language (or languages)
P101				97	No m’adreço a l’Administració de l’Estat a Catalunya	No me dirijo a la Administración del Estado en Cataluña	I don't contact the State Administration in Catalonia 
P101				99	No consta	No consta	N/A
P105	Vostè, amb els metges, a la consulta, en quina llengua parla?	Usted, con los médicos, en la consulta, ¿en qué lengua habla?	When speaking to doctors, at doctors’ offices, what language do you speak?				
P105				1	Només català	Sólo catalán	Only Catalan
P105				2	Més català que castellà	Más catalán que castellano	More Catalan than Spanish
P105				3	Ambdues	Ambas	Both
P105				4	Més castellà que català	Más castellano que catalán	More Spanish than Catalan
P105				5	Només castellà	Sólo castellano	Only Spanish
P105				6	Només en una altra llengua (o llengües)	Sólo en otra lengua (o lenguas)	Only in another language (or languages)
P105				7	En català i en una altra llengua (o llengües)	En catalán y otra lengua (o lenguas)	In Catalan and another language (or languages)
P105				8	En castellà i en una altra llengua (o llengües)	En castellano y otra lengua (o lenguas)	In Spanish and another language (or languages)
P105				9	En català, castellà i en una altra llengua (o llengües)	En catalán, catellano y otra lengua (o lenguas)	In Catalan, Spanish and another language (or languages)
P105				10	Només aranès	Sólo aranés	Only Aranese
P105				11	En català i aranès	En catalán y aranés	In Catalan and Aranese
P105				12	En castellà i aranès	En castellano y aranés	In Spanish and Aranese
P105				13	En aranès i en una altra llengua (o llengües)	En aranés y otra lengua (o lenguas)	In Aranese and another language (or languages)
P105				14	En català, castellà i aranès	En catalán, castellano y aranés	In Catalan, Spanish and Aranese
P105				15	En català, aranès i en una altra llengua (o llengües)	En catalán, aranés y otra lengua (o lenguas)	In Catalan, Aranese and another language (or languages)
P105				16	En castellà, aranès i en una altra llengua (o llengües)	En castellano, aranés y otra lengua (o lenguas)	In Spanish, Aranese and another language (or languages)
P105				97	No vaig al metge	No voy al médico	I don't go to the doctor
P105				99	No consta	No consta	N/A
P109	Vostè, quan escriu notes personals, en quina llengua escriu?	¿Usted, cuando escribe notas personales, en qué lengua escribe?	When you write personal notes, what language do you write in?				
P109				1	Només català	Sólo catalán	Only Catalan
P109				2	Més català que castellà	Más catalán que castellano	More Catalan than Spanish
P109				3	Ambdues	Ambas	Both
P109				4	Més castellà que català	Más castellano que catalán	More Spanish than Catalan
P109				5	Només castellà	Sólo castellano	Only Spanish
P109				6	Només en una altra llengua (o llengües)	Sólo en otra lengua (o lenguas)	Only in another language (or languages)
P109				7	En català i en una altra llengua (o llengües)	En catalán y otra lengua (o lenguas)	In Catalan and another language (or languages)
P109				8	En castellà i en una altra llengua (o llengües)	En castellano y otra lengua (o lenguas)	In Spanish and another language (or languages)
P109				9	En català, castellà i en una altra llengua (o llengües)	En catalán, catellano y otra lengua (o lenguas)	In Catalan, Spanish and another language (or languages)
P109				10	Només aranès	Sólo aranés	Only Aranese
P109				11	En català i aranès	En catalán y aranés	In Catalan and Aranese
P109				12	En castellà i aranès	En castellano y aranés	In Spanish and Aranese
P109				13	En aranès i en una altra llengua (o llengües)	En aranés y otra lengua (o lenguas)	In Aranese and another language (or languages)
P109				14	En català, castellà i aranès	En catalán, castellano y aranés	In Catalan, Spanish and Aranese
P109				15	En català, aranès i en una altra llengua (o llengües)	En catalán, aranés y otra lengua (o lenguas)	In Catalan, Aranese and another language (or languages)
P109				16	En castellà, aranès i en una altra llengua (o llengües)	En castellano, aranés y otra lengua (o lenguas)	In Spanish, Aranese and another language (or languages)
P109				97	No escric missatges de mòbil	No escribo mensajes de móvil	I don't write mobile messages
P109				99	No consta	No consta	N/A
P116	Em podria indicar quin és el grau d'acord amb la frase següent: La parla de les Illes Balears, de la Comunitat Valenciana, d'Andorra i de Catalunya són maneres diferents de parlar la mateixa llengua. Vostè està?	Me podría indicar cuál es el grado de acuerdo con la siguiente frase: El habla de las Islas Baleares, de la Comunidad Valenciana, de Andorra y de Cataluña son formas diferentes de hablar la misma lengua. ¿Usted está?	Can you please tell me how much you agree with the following sentence: The languages of the Balearic Islands, the Valencian Community, Andorra and Catalonia are different ways of speaking the same language. Do you agree?				
P116				1	Totalment d'acord	Totalmente de acuerdo	Strongly agree
P116				2	Més aviat d'acord	Más bien de acuerdo	Rather agree
P116				3	Més aviat en desacord	Más bien en desacuerdo	Somewhat disagree
P116				4	Totalment en desacord	Totalmente en desacuerdo	Strongly disagree
P116				5	Indiferent, no tinc opinió	Indiferente, no tengo opinión	Indifferent, I have no opinion
P116				98	No ho sap	No lo sabe	Don’t know
P116				99	No contesta	No contesta	No answer
P117	Amb quina freqüència inicia les converses en català?	¿Con qué frecuencia inicia las conversaciones en catalán?	How often do you initiate conversations in Catalan?				
P117				1	Sempre	Siempre	Always
P117				2	Molt sovint	Muy a menudo	Frequently
P117				3	Poques vegades	Pocas veces	Hardly ever
P117				4	Mai	Nunca	Never
P117				98	No ho sap	No lo sabe	Don’t know
P117				99	No contesta	No contesta	No answer
P118	Si vostè s'adreça a algú en català i aquesta persona li respon en castellà, vostè generalment què fa?	Si se dirige a alguien en catalán y esa persona le responde en castellano, ¿usted generalmente qué hace?	If you address someone in Catalan andthey reply in Spanish, what do you generally do?				
P118				1	Segueixo parlant en català	Sigo hablando en catalán	I keep speaking in Catalan
P118				2	Continuo la conversa en castellà	Continúo la conversación en castellano	I continue the conversation in Spanish
P118				3	Interrompo la conversa	Interrumpo la conversación	I interrupt the conversation
P118				4	Demano si em poden parlar en català	Pido si me pueden hablar en catalán	I ask if they can speak to me in Catalan
P118				5	Mai s'adreça a ningú en català	Nunca se dirige a nadie en catalán	Never speaks to anyone in Catalan
P118				99	No consta	No consta	N/A
P119	Si vostè s'adreça a algú en castellà i aquesta persona li respon en català, vostè generalment què fa?	Si se dirige a alguien en castellano y esa persona le responde en catalán, ¿usted generalmente qué hace?	If you address someone in Spanish and they reply in Catalan, what do you generally do?				
P119				1	Segueixo parlant en castellà	Sigo hablando en castellano	I keep speaking in Spanish
P119				2	Continuo la conversa en català	Continúo la conversación en catalán	I continue the conversation in Catalan
P119				3	Interrompo la conversa	Interrumpo la conversación	I interrupt the conversation
P119				4	Demano si em poden parlar en castellà	Pido si me pueden hablar en español	I ask if they can speak to me in Spanish
P119				5	Mai m'adreço a ningú en castellà	Nunca me dirijo a nadie en castellano	I never speak to anyone in Spanish
P119				99	No consta	No consta	N/A
P120	A parer seu, el català actualment s'usa...?	En su opinión, el catalán actualmente se usa...?	In your opinion, Catalan is currently used... 				
P120				1	Molt	Mucho	A lot
P120				2	Bastant	Bastante	A lot
P120				3	Normal	Normal	Normal
P120				4	Poc	Poco	Little
P120				5	Gens	Nada	None
P120				99	No consta	No consta	N/A
P121	En general, socialment, pensa que el català s'usa més, igual o menys que fa 5 anys?	En general, socialmente, ¿cree que el catalán se usa más, igual o menos que hace 5 años?	In general, do you think Catalan is used socially more, the same or less than it was 5 years ago?				
P121				1	Més	Más	More
P121				2	Igual	Igual	Same
P121				3	Menys	Menos	Less
P121				99	No consta	No consta	N/A
P122	A parer seu, creu que en els propers 5 anys el català s'usarà més, igual o menys que avui dia?	En su opinión, ¿cree que en los próximos 5 años el catalán se usará más, igual o menos que hoy en día?	In your opinion, do you think that in the next 5 years Catalan will be used more, the same or less than it is today?				
P122				1	Més	Más	More
P122				2	Igual	Igual	Same
P122				3	Menys	Menos	Less
P122				99	No consta	No consta	N/A
